7:302,616,58,8,61,518,29,15,650,1511
18:17,518,8,1382,508,70,650,289,32,1578
36:17,518,616,32,70,8,1023,61,787,654
37:103,15,17,542,61,1987,1126,32,402,65
41:17,616,61,402,32,1405,542,1511,564,245
42:542,518,61,17,1405,508,15,564,58,787
43:542,17,226,1535,1023,654,616,302,1405,327
44:302,616,1196,542,61,861,15,322,564,8
45:347,31315,23970,8476,7056,885,74038,62489,53818,33572
46:616,61,508,58,15,245,564,542,302,8
59:15,61,58,654,616,542,402,508,32,787
60:302,58,616,15,84,101,76,787,322,285
69:61,32,402,1196,364,564,58,787,654,1987
70:302,654,354,76,650,84,58,8,787,518
94:17,1126,616,1405,564,1403,486,32,65,363
106:61,32,8,554,15,1511,84,518,101,508
115:58,518,15,61,94,902,787,402,364,363
116:226,508,1790,564,76,70,1023,698,17,238
142:61,32,58,364,8,322,861,84,554,486
143:3231,483,394,120713,116359,110799,107116,106303,95698,93049
148:70,17,542,1023,654,616,15,564,61,650
150:17,302,654,61,564,15,542,84,8,101
156:542,58,302,8,61,616,508,32,2193,564
161:616,542,15,101,84,564,787,94,32,650
171:302,61,15,650,84,8,861,554,518,101
172:654,58,861,554,542,363,238,8,518,162
174:518,8,11194,3233,1208,1023,899,873,654,483
177:17,542,654,616,58,32,861,518,61,15
196:616,61,542,32,1196,15,564,76,1511,787
202:15,58,32,542,8,1535,302,245,518,1086
211:103,1131,564,1119,1382,327,311,76,17,508
217:518,245,17,1405,402,15,616,542,103,94
220:10178,186,46421,22713,4032,88939,40356,429,83884,39446
223:616,518,58,654,302,1511,245,564,94,8
224:4797,601,353,8694,4589,1951,769,17,16127,12993
225:61,15,616,542,564,518,364,302,654,32
228:616,302,650,564,542,58,17,654,224,15
229:61,58,15,32,1511,787,518,1196,322,861
231:32,61,654,302,58,1196,616,364,542,363
232:123227,120622,118389,113712,111953,109145,108129,107989,107510,107429
238:441,3618,4513,1744,2715,710,4444,1410,827,245
241:58,616,15,861,542,1196,564,61,650,84
245:16786,262,81,5767,3939,3137,780,650,508,63414
249:17,654,94,15,103,542,61,518,302,65
250:616,58,542,518,564,302,787,654,402,363
253:3107,1527,189,3172,4825,6434,508,8848,710,5624
257:17,542,861,62,1511,1196,61,32,15,554
272:654,1102,58,8,29,616,518,301,861,564
273:302,17,654,101,1196,650,15,787,508,322
288:17,15,616,58,1196,1511,364,61,554,508
290:17,302,654,354,226,1535,1382,616,542,138
291:518,84,17,15989,1102,654,616,23,26067,16852
292:616,58,542,654,61,322,285,94,32,1511
294:17,15,8,542,302,363,32,787,508,61
328:245,123082,122111,118734,117884,116841,115652,114350,113915,105377
331:616,17,654,15,302,58,542,1511,32,8
345:1754,77581,805,385,120518,100590,92129,83173,80736,62840
361:616,58,650,8,518,76,15,787,29,554
376:302,58,17,29,616,84,861,285,3234,650
384:17,616,542,302,15,654,1196,61,518,32
401:616,58,542,61,32,15,354,508,245,94
402:654,302,542,15,61,518,32,1196,861,162
410:984,4755,508,76,463,8860,5557,1147,378,226
448:616,61,15,245,654,518,302,58,542,402
449:17,654,1535,616,32,1405,58,15,518,61
